                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    104,                 1.9493,                 1.0599,                 1.0926,                0.71374,                 0.4154,                0.44903,                  0.154,                 2.3644,                 1.1349,                 1.3189,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.9702,                 1.0666,                 1.1036,                0.71169,                0.42427,                0.44314,                0.15351,                 2.3649,                 1.1513,                 1.3105,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.9555,                 1.0659,                 1.0971,                 0.6902,                0.41387,                0.44098,                0.14968,                 2.3793,                 1.1659,                 1.3167,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.9428,                 1.0582,                 1.0925,                0.66996,                 0.4295,                0.44862,                0.15648,                 2.3753,                  1.135,                 1.3204,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.9955,                 1.0837,                 1.1059,                0.68217,                0.41959,                0.43301,                0.15297,                  2.349,                  1.153,                 1.3072,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.9434,                  1.055,                 1.0911,                0.68247,                0.42264,                0.43425,                0.15072,                 2.3656,                 1.1498,                 1.3279,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.9619,                 1.0649,                 1.0912,                0.67064,                0.43712,                 0.4491,                0.15637,                  2.354,                 1.1325,                 1.3225,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.9289,                 1.0441,                  1.083,                0.68242,                0.41502,                0.44191,                0.15695,                 2.3655,                 1.1481,                 1.3222,              0.0015684,              0.0015684,              0.0015684
                    112,                 1.9899,                 1.0753,                 1.0869,                0.69209,                0.41463,                0.42192,                0.14722,                 2.3513,                 1.1651,                 1.3229,              0.0015644,              0.0015644,              0.0015644
                    113,                 1.9544,                 1.0652,                  1.094,                0.70585,                0.43559,                0.44273,                0.15035,                 2.3305,                  1.154,                  1.317,              0.0015604,              0.0015604,              0.0015604
                    114,                 1.9293,                 1.0369,                 1.0724,                0.67808,                0.41661,                0.41974,                0.14726,                 2.3729,                 1.1201,                 1.3498,              0.0015565,              0.0015565,              0.0015565
                    115,                  1.954,                 1.0647,                 1.0803,                0.69491,                0.43788,                0.45123,                0.15295,                 2.3765,                 1.1271,                 1.3379,              0.0015525,              0.0015525,              0.0015525
                    116,                 1.9286,                 1.0455,                 1.0849,                 0.6946,                0.43064,                0.45619,                0.15625,                 2.3472,                 1.1315,                 1.3173,              0.0015486,              0.0015486,              0.0015486
                    117,                 1.9205,                 1.0315,                 1.0938,                0.71312,                0.42061,                0.44818,                0.15362,                 2.3439,                 1.1391,                 1.3265,              0.0015446,              0.0015446,              0.0015446
